timestamp,open,high,low,close,volume,market_cap
2023-03-28,8.03,8.33,7.9,8.24,700777.07,619959.8
2023-03-29,8.25,8.6,8.21,8.5,952491.18,549364.34
2023-03-30,8.5,8.63,8.1,8.25,1068328.05,430834.63
2023-03-31,8.25,8.42,8.06,8.38,645907.84,343453.23
2023-04-01,8.39,8.52,8.29,8.5,581536.94,425710.88
2023-04-02,8.5,8.6,8.16,8.31,721118.48,383774.83
2023-04-03,8.31,8.44,8.05,8.26,836343.21,625225.48
2023-04-04,8.27,8.5,8.17,8.41,631099.34,638452.85
2023-04-05,8.41,8.79,8.34,8.74,976205.43,685525.9
2023-04-06,8.73,8.79,8.38,8.55,747182.4,447014.36
2023-04-07,8.55,8.96,8.46,8.8,1992994.69,1612342.75
2023-04-08,8.81,8.82,8.44,8.52,724854.64,1225217.87
2023-04-09,8.52,8.58,8.34,8.48,515199.05,471489.86
2023-04-10,8.47,8.69,8.37,8.66,582881.1,692791.62
2023-04-11,8.67,8.82,8.59,8.69,741789.36,669820.18
2023-04-12,8.69,8.74,8.26,8.6,1021542.57,1128550.3
2023-04-13,8.6,8.82,8.49,8.79,734341.84,1020588.79
2023-04-14,8.78,9.25,8.77,9.04,1627031.1,2005657.15
2023-04-15,9.04,9.16,8.95,9.02,796251.36,949048.9
2023-04-16,9.02,9.36,8.84,9.25,1231251.08,938734.84
2023-04-17,9.25,9.4,8.97,9.37,1341370.76,989400.33
2023-04-18,9.36,9.6,9.19,9.4,1199461.88,1503132.28
2023-04-19,9.39,9.41,8.28,8.43,1615619.8,2294965.33
2023-04-20,8.43,8.55,8.1,8.2,1007878.44,1205192.5
2023-04-21,8.21,8.31,7.77,7.92,915913.54,818974.88
2023-04-22,7.92,8.09,7.81,8.09,389466.93,225332.45
2023-04-23,8.08,8.08,7.67,7.93,480295.87,207572.43
2023-04-24,7.93,8.04,7.66,7.87,693439.03,557183.07
2023-04-25,7.87,8.05,7.62,8.02,654110.58,412989.92
2023-04-26,8.02,8.3,7.42,7.81,1051337.74,676298.15
2023-04-27,7.8,8.05,7.76,7.95,639017.0,366004.09
2023-04-28,7.96,8.06,7.78,7.98,559129.18,297354.16
2023-04-29,7.98,8.08,7.89,8.01,289659.05,209228.32
2023-04-30,8.01,8.14,7.86,7.9,473256.47,307922.06
