timestamp,open,high,low,close,volume,market_cap
2025-09-13,0.917,0.954,0.9143,0.9294,207628746.0,89182598.8
2025-09-14,0.9294,0.9313,0.8792,0.8879,106703822.7,53783611.96
2025-09-15,0.8878,0.9025,0.8524,0.8632,155293426.6,62001681.54
2025-09-16,0.8631,0.8841,0.853,0.8803,92067486.3,37693445.97
2025-09-17,0.8803,0.9197,0.8608,0.9138,154733412.9,71588604.14
2025-09-18,0.9138,0.9386,0.8996,0.9244,163637205.2,75418595.05
2025-09-19,0.9244,0.9378,0.8855,0.8904,130832798.9,63739607.2
2025-09-20,0.8904,0.9065,0.8871,0.8931,52678149.5,23976706.5
2025-09-21,0.8931,0.9026,0.875,0.884,64617792.0,33552552.51
2025-09-22,0.8841,0.8877,0.7873,0.8256,262158405.5,98835004.11
2025-09-23,0.8257,0.8295,0.803,0.806,93154647.2,48352428.93
2025-09-24,0.806,0.8304,0.7901,0.8127,95855704.9,39758409.68
2025-09-25,0.8128,0.8144,0.7542,0.7637,212139193.9,96695333.22
2025-09-26,0.7637,0.7964,0.7576,0.7919,102424850.1,54811365.35
2025-09-27,0.7918,0.7941,0.7766,0.7809,38304292.5,17554305.1
2025-09-28,0.781,0.8119,0.7645,0.8086,60982333.7,28969029.0
2025-09-29,0.8086,0.8161,0.788,0.8061,84007858.7,40873653.4
2025-09-30,0.806,0.8132,0.7781,0.8072,88758520.5,44131660.09
2025-10-01,0.8073,0.8512,0.7968,0.8508,132642239.2,69276850.94
2025-10-02,0.8508,0.8778,0.8361,0.8706,134137531.5,72189750.7
2025-10-03,0.8706,0.8924,0.8482,0.8655,133631604.9,65229785.2
2025-10-04,0.8655,0.8688,0.8331,0.8395,71672443.0,41464445.05
2025-10-05,0.8395,0.8826,0.8269,0.8371,149427053.9,61244967.99
2025-10-06,0.8372,0.881,0.8317,0.8715,171579610.4,64570157.85
2025-10-07,0.8716,0.878,0.817,0.8198,170785500.2,69291796.97
2025-10-08,0.8199,0.8515,0.8079,0.8387,109616497.8,55789086.0
2025-10-09,0.8387,0.8396,0.7939,0.8152,125624051.5,51410593.4
2025-10-10,0.8152,0.8242,0.2737,0.6353,154018284.0,175843494.06
2025-10-11,0.6353,0.6832,0.6092,0.6316,182412516.5,129215800.02
2025-10-12,0.6316,0.7095,0.6176,0.7,210806749.0,89093323.47
2025-10-13,0.7001,0.736,0.6917,0.7284,243460738.8,85401361.4
2025-10-14,0.7284,0.7334,0.6619,0.6989,291031627.6,94122932.16
2025-10-15,0.6988,0.716,0.6575,0.6684,160075781.5,58223573.39
2025-10-16,0.6685,0.6847,0.6332,0.6453,200052556.0,68878392.89
2025-10-17,0.6452,0.656,0.5923,0.6245,268779633.7,105025491.65
2025-10-18,0.6246,0.6409,0.623,0.6343,59384501.9,21118541.71
2025-10-19,0.6342,0.6652,0.6225,0.6528,109620437.0,45280057.62
2025-10-20,0.6527,0.676,0.6391,0.6625,144735122.7,41547591.54
2025-10-21,0.6626,0.6855,0.6369,0.6428,154145939.3,68027478.72
2025-10-22,0.6428,0.6468,0.6061,0.6238,155613632.5,52952543.32
2025-10-23,0.6238,0.654,0.6227,0.6428,93548863.2,35545360.27
2025-10-24,0.6429,0.6643,0.6387,0.656,99367742.5,34000488.38
2025-10-25,0.6559,0.6595,0.648,0.6542,40616598.0,12344585.47
2025-10-26,0.6542,0.6884,0.6466,0.6812,92318117.5,29494440.58
2025-10-27,0.6812,0.6938,0.6634,0.667,95122618.6,40591430.67
2025-10-28,0.6669,0.6755,0.6359,0.6459,116651079.9,40209301.49
2025-10-29,0.6459,0.6604,0.6252,0.6401,139267473.1,39792453.72
2025-10-30,0.6401,0.6486,0.5864,0.6016,164661705.0,58755083.74
2025-10-31,0.6016,0.62,0.5978,0.6091,99474430.0,41083815.48
2025-11-01,0.6091,0.6178,0.6033,0.6128,44683725.3,13693557.13
2025-11-02,0.6129,0.6189,0.5922,0.6106,53815345.4,21333262.41
2025-11-03,0.6105,0.6122,0.5259,0.5528,237564733.8,85432051.49
2025-11-04,0.5529,0.5633,0.4898,0.5208,336980946.9,123323966.03
2025-11-05,0.5208,0.5503,0.4947,0.5453,165359661.8,75636309.62
2025-11-06,0.5453,0.5456,0.5168,0.5318,121971447.1,47329241.45
2025-11-07,0.5319,0.5863,0.5196,0.5763,194941325.4,70126190.06
2025-11-08,0.5763,0.5932,0.5539,0.5688,99118952.0,36516156.69
2025-11-09,0.5688,0.5844,0.5478,0.579,91372351.7,35686826.07
2025-11-10,0.5789,0.6031,0.5737,0.5928,102827832.8,43255748.17
2025-11-11,0.5929,0.6069,0.5535,0.5564,115705244.7,46450183.95
2025-11-12,0.5565,0.5809,0.5394,0.5458,99390469.3,36456401.04
2025-11-13,0.5457,0.5716,0.5144,0.5298,149664298.1,48396149.65
2025-11-14,0.5298,0.5336,0.4901,0.4984,190803666.2,56561152.56
2025-11-15,0.4984,0.5154,0.4979,0.5036,109102128.6,32156130.95
2025-11-16,0.5035,0.5093,0.4735,0.4845,174030140.6,55276155.41
2025-11-17,0.4845,0.4997,0.4576,0.4663,224051283.6,70527035.04
2025-11-18,0.4664,0.4823,0.4562,0.4752,195617142.5,58844841.47
2025-11-19,0.4752,0.4775,0.4381,0.464,189011037.1,59327972.07
2025-11-20,0.464,0.4722,0.4288,0.4324,181640032.0,55904653.23
2025-11-21,0.4323,0.4397,0.3876,0.4091,140256869.3,95048452.83
2025-11-22,0.4091,0.4132,0.3907,0.4046,98873706.6,22972086.49
2025-11-23,0.4045,0.4185,0.4016,0.4085,112961442.4,31780284.49
2025-11-24,0.4085,0.4342,0.402,0.4276,156866959.4,35082715.44
2025-11-25,0.4276,0.4291,0.4046,0.4218,116535814.5,32728486.05
